target_id,decoy_id,tm,gdt_ts,gdt_ha,rmsd,split,label,sample_id
T0759,3D-Jigsaw-V5_1_TS1,0.3583,0.3568,0.2995,14.527999999999999,train,0,T0759/3D-Jigsaw-V5_1_TS1
T0759,3D-Jigsaw-V5_1_TS2,0.3446,0.3568,0.2891,14.645,train,0,T0759/3D-Jigsaw-V5_1_TS2
T0759,Atome2_CBS_TS1,0.1787,0.1901,0.1354,16.885,train,0,T0759/Atome2_CBS_TS1
T0759,MULTICOM-REFINE_TS4,0.3747,0.3724,0.2995,13.81,train,0,T0759/MULTICOM-REFINE_TS4
T0764,MULTICOM-CONSTRUCT_TS3,0.8596,0.7539,0.5818,5.118,test,1,T0764/MULTICOM-CONSTRUCT_TS3
T0819,eThread_TS1,0.8315,0.5933,0.3651,3.7319999999999998,train,1,T0819/eThread_TS1
T0428,keasar-server_TS4,0.9778,0.9541,0.8122,0.8690000000000001,train,1,T0428/keasar-server_TS4
T0428,keasar-server_TS5,0.9777,0.9563,0.8144,0.87,train,1,T0428/keasar-server_TS5
T0428,mGenTHREADER_TS1,0.978,0.9552,0.8177,0.866,train,1,T0428/mGenTHREADER_TS1
T0428,mariner1_TS1,0.96,0.9258,0.7828,1.25,train,1,T0428/mariner1_TS1
T0428,mariner1_TS2,0.9619,0.929,0.8002,1.232,train,1,T0428/mariner1_TS2
T0428,mariner1_TS3,0.9601,0.9258,0.7859999999999999,1.255,train,1,T0428/mariner1_TS3
T0428,mariner1_TS4,0.9466,0.8996,0.7402,1.5319999999999998,train,1,T0428/mariner1_TS4
T0428,mariner1_TS5,0.9379,0.8832,0.7282,1.6580000000000001,train,1,T0428/mariner1_TS5
T0428,nFOLD3_TS1,0.9597,0.9247,0.7871,1.258,train,1,T0428/nFOLD3_TS1
T0428,nFOLD3_TS2,0.9597,0.9247,0.7871,1.258,train,1,T0428/nFOLD3_TS2
T0819,eThread_TS2,0.9068,0.7452,0.5232,2.7030000000000003,train,1,T0819/eThread_TS2
T0428,nFOLD3_TS3,0.9317,0.8821,0.7314,1.59,train,1,T0428/nFOLD3_TS3
T0428,nFOLD3_TS4,0.9536,0.9225,0.7784,1.38,train,1,T0428/nFOLD3_TS4
T0428,nFOLD3_TS5,0.978,0.9552,0.8177,0.866,train,1,T0428/nFOLD3_TS5
T0428,panther_server_TS1,0.975,0.9498,0.7882,0.922,train,1,T0428/panther_server_TS1
T0428,panther_server_TS2,0.8932,0.75,0.5284,2.145,train,1,T0428/panther_server_TS2
T0428,panther_server_TS3,0.9551,0.9127,0.7413,1.321,train,1,T0428/panther_server_TS3
T0428,panther_server_TS4,0.9392,0.8712,0.69,1.571,train,1,T0428/panther_server_TS4
T0428,panther_server_TS5,0.9453,0.8788,0.6921,1.459,train,1,T0428/panther_server_TS5
T0428,pipe_int_TS1,0.9601,0.9258,0.7817,1.251,train,1,T0428/pipe_int_TS1
T0428,pipe_int_TS2,0.9601,0.9269,0.7828,1.252,train,1,T0428/pipe_int_TS2
T0819,eThread_TS3,0.8402,0.6185,0.3937,3.7060000000000004,train,1,T0819/eThread_TS3
T0428,pipe_int_TS3,0.9058,0.8384,0.6594,2.247,train,1,T0428/pipe_int_TS3
T0428,pipe_int_TS4,0.978,0.9552,0.8177,0.866,train,1,T0428/pipe_int_TS4
T0428,pipe_int_TS5,0.9527,0.917,0.7729,1.3869999999999998,train,1,T0428/pipe_int_TS5
T0428,pro-sp3-TASSER_TS1,0.9605,0.9258,0.7817,1.246,train,1,T0428/pro-sp3-TASSER_TS1
T0428,pro-sp3-TASSER_TS2,0.9598,0.9279,0.7838,1.255,train,1,T0428/pro-sp3-TASSER_TS2
T0428,pro-sp3-TASSER_TS3,0.96,0.9247,0.7795,1.25,train,1,T0428/pro-sp3-TASSER_TS3
T0428,pro-sp3-TASSER_TS4,0.9595,0.9258,0.7631,1.254,train,1,T0428/pro-sp3-TASSER_TS4
T0428,pro-sp3-TASSER_TS5,0.9562,0.917,0.7369,1.306,train,1,T0428/pro-sp3-TASSER_TS5
T0428,rehtnap_TS1,0.9552,0.9028,0.7391,1.304,train,1,T0428/rehtnap_TS1
T0428,rehtnap_TS2,0.9559,0.9094,0.7369,1.296,train,1,T0428/rehtnap_TS2
T0819,eThread_TS4,0.8768,0.7125,0.5048,3.658,train,1,T0819/eThread_TS4
T0428,rehtnap_TS3,0.9576,0.9083,0.7424,1.265,train,1,T0428/rehtnap_TS3
T0428,schenk-torda-server_TS1,0.1485,0.0862,0.0535,24.785999999999998,train,0,T0428/schenk-torda-server_TS1
T0428,schenk-torda-server_TS2,0.1575,0.0906,0.0546,19.879,train,0,T0428/schenk-torda-server_TS2
T0428,schenk-torda-server_TS3,0.1486,0.0841,0.048,21.183000000000003,train,0,T0428/schenk-torda-server_TS3
T0428,schenk-torda-server_TS4,0.1758,0.0873,0.0469,20.189,train,0,T0428/schenk-torda-server_TS4
T0428,schenk-torda-server_TS5,0.1635,0.0983,0.0513,24.391,train,0,T0428/schenk-torda-server_TS5
T0429,3D-JIGSAW_AEP_TS1,0.3264,0.3089,0.2411,12.635,train,0,T0429/3D-JIGSAW_AEP_TS1
T0429,3D-JIGSAW_AEP_TS2,0.317,0.3071,0.2375,12.488,train,0,T0429/3D-JIGSAW_AEP_TS2
T0429,3D-JIGSAW_AEP_TS3,0.3148,0.2982,0.2286,13.658,train,0,T0429/3D-JIGSAW_AEP_TS3
T0429,3D-JIGSAW_AEP_TS4,0.2927,0.2804,0.2196,14.587,train,0,T0429/3D-JIGSAW_AEP_TS4
T0819,eThread_TS5,0.8595,0.6594,0.4455,3.68,train,1,T0819/eThread_TS5
T0429,3D-JIGSAW_AEP_TS5,0.3174,0.2982,0.2357,13.47,train,0,T0429/3D-JIGSAW_AEP_TS5
T0429,3D-JIGSAW_V3_TS1,0.3323,0.3107,0.2304,14.243,train,0,T0429/3D-JIGSAW_V3_TS1
T0429,3D-JIGSAW_V3_TS2,0.3192,0.2946,0.2161,16.116,train,0,T0429/3D-JIGSAW_V3_TS2
T0429,3D-JIGSAW_V3_TS3,0.3272,0.3036,0.2196,15.97,train,0,T0429/3D-JIGSAW_V3_TS3
T0429,3D-JIGSAW_V3_TS4,0.32299999999999995,0.3,0.2214,17.459,train,0,T0429/3D-JIGSAW_V3_TS4
T0429,3D-JIGSAW_V3_TS5,0.3196,0.2964,0.2179,17.248,train,0,T0429/3D-JIGSAW_V3_TS5
T0429,3DShot2_TS1,0.3219,0.2696,0.1768,18.781,train,0,T0429/3DShot2_TS1
